City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
247,Neiafu,TO,81.28,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
249,Monrovia,LR,76.77,moderate rain,6.3005,-10.7969,Sunset Inn
250,Bamnet Narong,TH,81.72,overcast clouds,15.4992,101.6897,Jong Jaroen Resort
254,Bandarbeyla,SO,78.89,clear sky,9.4942,50.8122,JABIR HOTEL
256,Grand-Lahou,CI,79.57,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
257,Auki,SB,82.18,clear sky,-8.7676,160.7034,Auki Motel
258,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
271,Jiazi,CN,75.87,scattered clouds,22.8779,116.067,Hotel Jin Hao
272,Samarai,PG,78.66,overcast clouds,-10.6167,150.6667,Nuli Sapi
277,Balabac,PH,82.53,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
288,Kutum,SD,79.7,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
294,Kudahuvadhoo,MV,82.72,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
297,Christiansburg,US,84.4,broken clouds,37.1298,-80.4089,Hampton Inn Christiansburg/Blacksburg
298,Sinnar,SD,88.68,overcast clouds,13.5691,33.5672,هجو الطاهر
304,Batasan,PH,80.74,overcast clouds,12.7667,120.7833,CORDERO Beach Resort
305,Daru,PG,77.36,overcast clouds,-9.0763,143.2092,Daru Lodge
311,Matara,LK,78.39,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
315,Faanui,PF,81.03,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
318,Aliaga,PH,80.1,overcast clouds,15.5167,120.8667,Jhenie rich ramos
319,Quang Ngai,VN,79.65,overcast clouds,15.1167,108.8,Central Hotel
325,Quixada,BR,79.81,overcast clouds,-4.9714,-39.0153,Hotel Vale das Pedras
328,Puerto Escondido,MX,85.62,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
329,Najran,SA,79.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
331,Muisne,EC,80.71,overcast clouds,0.6,-80.0333,Quinta Samay
334,Dingle,PH,76.44,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
335,Fasa,IR,87.04,clear sky,28.9383,53.6482,Fasa University Boys' Dormitory
336,Pontianak,ID,75.18,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
344,Parrita,CR,88.52,broken clouds,9.5201,-84.3225,Beso del Viento
354,Hobyo,SO,78.35,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
363,Mandiana,GN,86.68,clear sky,10.6333,-8.6833,Centre d'accueil de Mandiana
364,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
366,Nieuw Amsterdam,SR,82.42,scattered clouds,5.8833,-55.0833,Globe Hotel
371,Arawa,PG,80.69,light rain,-6.2132,155.5367,Coastline Guest House
372,Quatre Cocos,MU,75.31,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
381,Memphis,US,76.17,overcast clouds,35.1495,-90.049,"Crowne Plaza Memphis Downtown, an IHG Hotel"
382,Avanigadda,IN,85.42,few clouds,16.0215,80.9181,AP Camping
384,Acapulco,MX,89.42,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
387,Komsomolskiy,UZ,81.82,broken clouds,40.4272,71.7189,Ikathouse
388,La Romana,DO,82.13,overcast clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
393,Kenora,CA,77.97,broken clouds,49.8167,-94.4337,Maynard Lake Lodge
396,Fare,PF,80.62,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
397,Adre,TD,83.7,overcast clouds,13.4667,22.2,
400,Buritizeiro,BR,75.27,overcast clouds,-17.3511,-44.9622,Santos Palace Hotel
404,Barentu,ER,87.13,broken clouds,15.1139,37.5928,
406,Anloga,GH,81.39,few clouds,5.7947,0.8973,Pin Drop Hotel
408,Kavieng,PG,82.29,light rain,-2.5744,150.7967,Nusa Island Retreat
412,Isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
413,Lincoln,US,86.07,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
415,Itarema,BR,77.92,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
418,Namatanai,PG,81.05,light rain,-3.6667,152.4333,Seagulls Inn Namatani
419,Camaguey,CU,86.34,scattered clouds,21.3808,-77.9169,Tararaco
420,Soyo,AO,75.69,few clouds,-6.1349,12.3689,Hotel Mpampa
421,Sao Raimundo Nonato,BR,77.41,broken clouds,-9.0153,-42.6994,Real Hotel
424,Istmina,CO,75.43,overcast clouds,5.1605,-76.684,Hotel La Gran Estación Istmina
425,Kendallville,US,86.02,scattered clouds,41.4414,-85.265,Best Western Kendallville Inn
426,Aswan,EG,85.21,clear sky,24.0934,32.907,Nuba Nile
427,Lafia,NG,76.75,light rain,8.4833,8.5167,Low Cost Housing Estate
428,Weligama,LK,78.8,overcast clouds,5.9667,80.4167,Weligama Bay Resort
429,Rock Springs,US,85.23,clear sky,41.5875,-109.2029,Homewood Suites by Hilton Rock Springs
432,Belmonte,BR,77.5,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
436,Iracoubo,GF,76.01,light rain,5.4802,-53.2011,Le Gite D Iracoubo
437,Valley City,US,85.19,clear sky,46.9233,-98.0032,AmericInn by Wyndham Valley City Conference Center
441,Jacareacanga,BR,81.37,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
442,Inirida,CO,77.68,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
443,Pundaguitan,PH,82.08,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
444,Sao Paulo De Olivenca,BR,77.49,broken clouds,-3.3783,-68.8725,
456,Ixtapa,MX,85.23,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
462,Veraval,IN,84.78,few clouds,20.9,70.3667,Lords Inn Somnath
463,Takoradi,GH,79.5,clear sky,4.8845,-1.7554,Raybow International Hotel
464,Halifax,CA,76.41,overcast clouds,44.6453,-63.5724,Hotel Halifax
466,Walvis Bay,,76.15,clear sky,-22.9575,14.5053,Oyster Box Guesthouse
467,Mayumba,GA,75.52,overcast clouds,-3.432,10.6554,LIKWALE LODGE
468,Jutai,BR,77.18,broken clouds,-5.1833,-68.9,
470,Damghan,IR,77.49,clear sky,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
471,Baghdad,IQ,78.71,clear sky,33.3406,44.4009,Baghdad Hotel
474,Grand Valley,CA,86.88,few clouds,43.9001,-80.3164,Grand Valley Lions Trailer Park
477,Puerto Narino,CO,82.35,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
478,Jibuti,DJ,85.42,scattered clouds,11.5,42.5,Orchid Main Camp Goubet
481,Morant Bay,JM,88.63,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
484,Contamana,PE,80.91,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
488,Sangin,AF,88.57,clear sky,32.0728,64.8359,
489,Grand Gaube,MU,75.6,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
490,Pascagoula,US,80.82,heavy intensity rain,30.3658,-88.5561,Regency Inn
492,Carutapera,BR,75.24,heavy intensity rain,-1.195,-46.02,Lidera
493,Derac,HT,82.35,clear sky,19.65,-71.8167,Le Marien Hotels & Resorts
495,Kilindoni,TZ,79.65,clear sky,-7.9139,39.6668,Bustani B&B
497,Pemangkat,ID,76.96,overcast clouds,1.1667,108.9667,Ramah Kost KITA
501,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
502,Mecca,SA,86.34,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
503,Bucerias,MX,85.98,scattered clouds,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
