City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
300,Mindelo,CV,16.8901,-24.9804,72.95,78,20,22.17,few clouds
301,Mokhotlong,LS,-29.2894,29.0675,35.17,64,0,3.04,clear sky
302,Omsukchan,RU,62.5333,155.8,47.08,76,93,8.79,overcast clouds
303,Nishihara,JP,26.1842,127.7558,74.86,94,75,7.16,light rain
304,Batasan,PH,12.7667,120.7833,80.74,77,100,3.83,overcast clouds
305,Daru,PG,-9.0763,143.2092,77.36,88,98,17.25,overcast clouds
306,Fayaoue,NC,-20.65,166.5333,72.88,57,100,11.3,overcast clouds
307,Port Lincoln,AU,-34.7333,135.8667,60.46,49,99,24.23,overcast clouds
308,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,85,99,2.73,overcast clouds
309,Chissamba,AO,-12.1667,17.3333,56.1,51,39,2.53,scattered clouds
310,Kadaya,RU,50.9327,119.2911,59.54,59,0,3.38,clear sky
311,Matara,LK,5.9485,80.5353,78.39,89,95,9.89,overcast clouds
312,Cidreira,BR,-30.1811,-50.2056,63.14,76,100,10.98,overcast clouds
313,Akhalgori,GE,42.126,44.4833,53.11,92,97,5.93,overcast clouds
314,Homer,US,59.6425,-151.5483,69.08,64,1,19.57,clear sky
315,Faanui,PF,-16.4833,-151.75,81.03,76,77,11.07,broken clouds
316,Whitehorse,CA,60.7161,-135.0538,55.02,81,75,15.01,light rain
317,Clyde River,CA,70.4692,-68.5914,35.83,93,90,4.61,overcast clouds
318,Aliaga,PH,15.5167,120.8667,80.1,85,97,3.15,overcast clouds
319,Quang Ngai,VN,15.1167,108.8,79.65,82,100,3.83,overcast clouds
320,Karratha,AU,-20.7377,116.8463,74.43,59,80,8.48,broken clouds
321,Nome,US,64.5011,-165.4064,37.17,80,90,11.5,overcast clouds
322,Flinders,AU,-34.5833,150.8552,55.38,77,86,6.53,overcast clouds
323,Pafos,CY,34.7667,32.4167,69.71,52,0,5.75,clear sky
324,San Juan,AR,-31.5375,-68.5364,67.73,48,0,8.46,clear sky
325,Quixada,BR,-4.9714,-39.0153,79.81,59,97,2.39,overcast clouds
326,Arcata,US,40.8665,-124.0828,70.66,66,1,8.01,clear sky
327,Parabel,RU,58.6978,81.4825,52.72,91,99,10.74,overcast clouds
328,Puerto Escondido,MX,15.85,-97.0667,85.62,75,50,8.84,scattered clouds
329,Najran,SA,17.4924,44.1277,79.45,19,8,5.12,clear sky
330,Gornet,RO,45.1167,26.0667,59.5,83,0,5.46,clear sky
331,Muisne,EC,0.6,-80.0333,80.71,84,99,11.16,overcast clouds
332,Kropotkin,RU,45.4375,40.5756,55.13,95,69,8.16,broken clouds
333,Naberera,TZ,-4.2,36.9333,59.2,79,96,9.89,overcast clouds
334,Dingle,PH,10.9995,122.6711,76.44,87,100,2.21,overcast clouds
335,Fasa,IR,28.9383,53.6482,87.04,13,0,6.91,clear sky
336,Pontianak,ID,-0.0333,109.3333,75.18,94,40,3.76,scattered clouds
337,Kruisfontein,ZA,-34.0033,24.7314,57.43,21,3,8.28,clear sky
338,Angoche,MZ,-16.2325,39.9086,72.93,72,93,12.73,overcast clouds
339,Mayahi,NE,13.9553,7.6712,91.78,29,97,0.76,overcast clouds
340,Smithers,CA,54.7804,-127.1743,57.52,51,75,10.36,broken clouds
341,Lyuban,BY,52.7985,28.0048,55.08,91,11,7.7,few clouds
342,Kargasok,RU,59.0556,80.8572,48.29,92,100,8.57,overcast clouds
