City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
235,Oranjemund,NA,2021-06-06 16:51:58,-28.55,16.4333,66.54,37,0,1.97
236,Dumas,US,2021-06-06 16:51:59,35.8656,-101.9732,78.04,60,1,9.22
237,Vila Franca Do Campo,PT,2021-06-06 16:51:59,37.7167,-25.4333,68.41,79,99,4.9
238,Cap Malheureux,MU,2021-06-06 16:51:59,-19.9842,57.6142,73.89,83,49,1.01
239,Esmeralda,CU,2021-06-06 16:52:00,21.8525,-78.1169,85.8,66,89,14.81
240,Victoria,HK,2021-06-06 16:49:12,22.2855,114.1577,82.45,84,16,1.01
241,Mbini,GQ,2021-06-06 16:52:00,1.574,9.6134,82.24,87,100,5.93
242,Ygatimi,PY,2021-06-06 16:52:01,-24.0833,-55.5,77.68,40,99,5.08
243,Uzyn,UA,2021-06-06 16:52:01,49.8262,30.4149,67.15,84,94,6.29
244,Raiganj,IN,2021-06-06 16:52:01,25.6167,88.1167,89.1,59,59,9.4
245,Yulara,AU,2021-06-06 16:52:02,-25.2406,130.9889,49.84,53,0,4.61
246,Bathsheba,BB,2021-06-06 16:52:02,13.2167,-59.5167,88.41,51,20,19.24
247,Launceston,AU,2021-06-06 16:52:03,-41.45,147.1667,55.15,95,75,5.99
248,Berlevag,NO,2021-06-06 16:52:03,70.8578,29.0864,42.8,70,7,6.91
249,Coquimbo,CL,2021-06-06 16:52:04,-29.9533,-71.3436,56.93,82,90,3.29
250,Half Moon Bay,US,2021-06-06 16:51:15,37.4636,-122.4286,71.06,64,20,1.01
251,Atar,MR,2021-06-06 16:52:04,20.5169,-13.0499,107.64,11,6,18.79
252,Bredasdorp,ZA,2021-06-06 16:51:35,-34.5322,20.0403,63.72,36,10,6.55
253,Dom Pedro,BR,2021-06-06 16:52:05,-4.4833,-44.45,91.38,39,6,4.45
254,Tafresh,IR,2021-06-06 16:52:05,34.692,50.013,77.18,11,0,23.0
255,Chik,RU,2021-06-06 16:52:05,54.9928,82.4311,64.15,55,0,10.74
256,Lucapa,AO,2021-06-06 16:52:06,-8.4192,20.7447,74.95,38,45,2.53
257,Ambilobe,MG,2021-06-06 16:52:06,-13.2,49.05,72.39,89,67,3.94
258,Yinchuan,CN,2021-06-06 16:52:06,38.4681,106.2731,74.08,38,95,11.79
259,Mikhaylovka,RU,2021-06-06 16:52:07,50.06,43.2379,61.93,81,69,5.26
